"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
curr_survey_date,currdrugs_daily_interview,,text,"Survey Date",,mm-dd-yyyy,date_mdy,2016-01-01,2026-12-31,y,,y,,,,," @HIDEBUTTON @NOW"
curr_eat_last,currdrugs_daily_interview,,text,"When was the last time you had anything to eat/drink?",,"mm-dd-yyyy hh:mm",datetime_mdy,"2000-01-01 00:00","2026-12-31 23:59",,,,,,,,
curr_meds_desc,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Medications:</h6></div>",,"mm-dd-yyyy hh:mm",,,,,,,,,,,
curr_meds_haschanged,currdrugs_daily_interview,,yesno,"Has the list of medications or supplements you are taking changed from your previous response below?

[previous-event-name][curr_meds_list]",,,,,,,"[event-label]=""screen""",,,,,,
curr_meds_list,currdrugs_daily_interview,,notes,"List of medications:",,"separate by comma",,,,,"[curr_meds_haschanged] = '1' or [event-name] = 'screen'",,,,,,
curr_meds_doses,currdrugs_daily_interview,,notes,"doses of medications",,"values must be pure integer or 'NA' and separated by comma",,,,,,,,,,,
curr_meds_lastuse_days,currdrugs_daily_interview,,notes,"meds last use date:",,"list either number of days or 'NA' in same order as above ",,,,,,,,,,,
curr_meds_past_dur,currdrugs_daily_interview,,notes,"List the approximate number of years, mo, days you've been taking each medication:",,,,,,,,,,,,,
curr_meds_future_dur,currdrugs_daily_interview,,notes,"List the approximate number of days (or NA for indefinitely or unsure) you will continue taking each of the listed substance(s)",,,,,,,,,,,,,
curr_meds_table,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 157px; border-style: hidden;"" border=""1""> <tbody> <tr style=""height: 54px;""> <td style=""width: 20.3912%; height: 54px; border-style: hidden;"">Medications</td> <td style=""width: 13.6031%; height: 54px;"">Dose</td> <td style=""width: 22.9462%; border-style: hidden; height: 54px;"">When did you last use it? <span style=""font-weight: normal;"">(days)</span></td> <td style=""width: 23.0878%; height: 54px; border-style: ridge;"">How long have you been taking it? <span style=""font-weight: normal;"">(yr, mo, days)</span></td> <td style=""width: 19.9717%; height: 54px; border-style: hidden;"">How long do you intend to take it? <span style=""font-weight: normal;"">(yr, mo, days)</span></td> </tr> <tr style=""height: 103px;""> <td style=""width: 20.3912%; height: 103px;"">{curr_meds_list}</td> <td style=""width: 13.6031%; height: 103px; border-style: hidden;"">{curr_meds_doses}</td> <td style=""width: 22.9462%; height: 103px;"">{curr_meds_lastuse_days}</td> <td style=""width: 23.0878%; height: 103px; border-style: hidden;"">{curr_meds_past_dur}</td> <td style=""width: 19.9717%; height: 103px;"">{curr_meds_future_dur}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
curr_mc_period_start,currdrugs_daily_interview,,text,"When was the first day of your last period?",,,date_ymd,2000-01-01,2026-12-31,,"[gender] = 'F'",,,,,,
curr_mc_start_check,currdrugs_daily_interview,,radio,"Was the date you provided the exact or approximate date?","exact, Exact | approx, Approximate",,,,,,,,,,,,
curr_mc_start_margin,currdrugs_daily_interview,,text,"Within how many days do you think your memory is accurate? ( 3 days would mean 20th-23rd day of the month have the same chance of being the actual day according to your memory)

",,"integer only",integer,,,,"[curr_mc_start_check] = 'approx'",,,,,,
curr_mc_onperiod,currdrugs_daily_interview,,yesno,"Are you currently on your period?",,,,,,,,,,,,,
curr_mc_period_end,currdrugs_daily_interview,,text,"What date did it end?",,,date_mdy,,,,"[curr_mc_onperiod] = 0",,,,,,
curr_mc_table,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Menstrual Cycle Questions:</h6> <p>When was the first day of your last period? {curr_mc_period_start:icons}</p> <p>Was the date you provided exact or approximate? {curr_mc_start_check:icons}</p> <p>How close do you feel this is to the actual day? {curr_mc_start_margin:icons}</p> <p>Are you currently on your period? {curr_mc_onperiod:icons}</p> <p>What date did it end? {curr_mc_period_end:icons}</p></div>",,,,,,,[gender]='F',,,,,,
curr_alc_yn,currdrugs_daily_interview,,yesno,"Have you ever consumed alcohol?",,,,,,,,y,,,,,
curr_alc_table,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><h6>Alcohol Questions:</h6> <table style=""border-collapse: collapse; width: 100%; height: 390.8px; border-style: hidden;"" border=""1""> <tbody> <tr style=""height: 56.4px;""> <td style=""width: 42.138%; height: 56.4px; border-style: hidden;""> <p>Does the participant remember the exact date they last used alcohol?</p> </td> <td style=""width: 57.8337%; height: 56.4px;"" colspan=""2"">{curr_alc_last_check}</td> </tr> <tr style=""height: 66.4px;""> <td style=""width: 42.138%; height: 66.4px;"">When was the last time you drank any alcoholic beverage?</td> <td style=""width: 28.1391%; height: 66.4px; border-style: hidden;""> <p>{curr_alc_last_date_exact}</p> <p>{curr_alc_abs_approx_num}</p> </td> <td style=""width: 29.6946%; height: 66.4px; border-style: hidden;""> <p>{curr_alc_abs_exact_days}</p> <p>{curr_alc_abs_approx_units}</p> </td> </tr> <tr style=""height: 36px;""> <td style=""width: 42.138%; height: 36px; border-style: hidden;"">How many days did you use alcohol in the past 30 days?</td> <td style=""width: 57.8337%; height: 36px;"" colspan=""2"">{curr_alc_30days} days</td> </tr> <tr style=""height: 193.8px;""> <td style=""width: 42.138%; height: 193.8px;"">What did you drink?</td> <td style=""width: 28.1391%; height: 193.8px; border-style: hidden;"">Pick type of alcohol(s) used:{curr_alc_last_type}{curr_alc_last_type_other}</td> <td style=""width: 29.6946%; height: 193.8px; border-style: hidden;""> <p>Enter amounts (oz) here</p> <p>beer: {curr_alc_last_beer_oz}<br />wine: {curr_alc_last_wine_oz}<br />liquor:{curr_alc_last_liq_oz}<br />other: {curr_alc_last_other_oz}</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[curr_alc_yn] = 1",,,,,,
curr_alc_last_check,currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used alcohol?",,,,,,,"[curr_alc_yn] = 1",,,,,,
